"from","to","relation","date"
"86603879089","42171907785","SIBLING","2013-02-04"
"42171907785","86603879089","SIBLING","2013-02-04"
"80297582095","23258331907","SIBLING","2010-10-09"
"23258331907","80297582095","SIBLING","2010-10-09"
"36741548800","55711842172","SIBLING","1999-07-02"
"55711842172","36741548800","SIBLING","1999-07-02"
"45350360520","99124249048","PARENT","1997-11-06"
"99124249048","45350360520","OFFSPRING","1997-11-06"
"85247080758","37347569868","SPOUSE","1972-04-29"
"37347569868","85247080758","SPOUSE","1972-04-29"
"39376143426","93885853572","SIBLING","2001-01-18"
"93885853572","39376143426","SIBLING","2001-01-18"
"13165506979","76531266922","PARENT","1985-04-23"
"76531266922","13165506979","OFFSPRING","1985-04-23"
"93699221651","12058741919","SIBLING","2011-07-05"
"12058741919","93699221651","SIBLING","2011-07-05"
"13535109920","56149578084","PARENT","1977-06-06"
"56149578084","13535109920","OFFSPRING","1977-06-06"
"54268035493","42692417527","SPOUSE","1995-09-10"
"42692417527","54268035493","SPOUSE","1995-09-10"
"19930930320","47271204511","PARENT","2014-06-19"
"47271204511","19930930320","OFFSPRING","2014-06-19"
"71708835034","91455553558","SPOUSE","2009-06-29"
"91455553558","71708835034","SPOUSE","2009-06-29"
"94781503104","52703050756","SPOUSE","2016-04-20"
"52703050756","94781503104","SPOUSE","2016-04-20"
"47464098915","37481431209","SPOUSE","1988-10-14"
"37481431209","47464098915","SPOUSE","1988-10-14"
"82746629986","77130062133","PARENT","1972-06-17"
"77130062133","82746629986","OFFSPRING","1972-06-17"
"23712436321","68481956521","SPOUSE","2007-08-29"
"68481956521","23712436321","SPOUSE","2007-08-29"
"25708725781","56147327386","PARENT","2019-05-11"
"56147327386","25708725781","OFFSPRING","2019-05-11"
"44879669207","40341869760","SIBLING","1973-04-24"
"40341869760","44879669207","SIBLING","1973-04-24"
"24069368329","52834064963","PARENT","2000-04-10"
"52834064963","24069368329","OFFSPRING","2000-04-10"
"13530283689","23688108740","SIBLING","2004-07-18"
"23688108740","13530283689","SIBLING","2004-07-18"
"27749809912","21848200640","PARENT","1987-02-24"
"21848200640","27749809912","OFFSPRING","1987-02-24"
"61807363466","63935305428","SIBLING","2012-02-11"
"63935305428","61807363466","SIBLING","2012-02-11"
"43136054264","41585572005","SIBLING","1991-07-06"
"41585572005","43136054264","SIBLING","1991-07-06"
"93190467955","95687027155","SPOUSE","1994-07-06"
"95687027155","93190467955","SPOUSE","1994-07-06"
"17955406961","42051321657","PARENT","2015-07-08"
"42051321657","17955406961","OFFSPRING","2015-07-08"
"90658966152","26651958676","SPOUSE","1990-09-24"
"26651958676","90658966152","SPOUSE","1990-09-24"
"25530878240","32271655038","SPOUSE","2007-06-13"
"32271655038","25530878240","SPOUSE","2007-06-13"
"95379431751","98688820635","SPOUSE","2018-10-02"
"98688820635","95379431751","SPOUSE","2018-10-02"
"17217790702","96941563094","PARENT","1992-04-20"
"96941563094","17217790702","OFFSPRING","1992-04-20"
