"from","to","transaction_id","date","amount"
"677050","545040","637871","2019-11-19","244179000"
"984952","818067","951443","1982-08-03","561742000"
"187840","328944","560769","1999-02-03","875690000"
"201513","791388","765047","1994-08-08","204609000"
"198802","732729","570561","2018-05-20","234492000"
"699536","939559","879986","1989-06-20","132910000"
"670347","727502","967693","1973-06-24","509037000"
"726372","610301","157071","1992-04-12","534275000"
"589801","466257","664258","2001-12-13","450324000"
"722494","164452","461810","1986-05-07","436340000"
"333136","730031","724888","1995-05-27","975786000"
"675874","107644","473387","2006-10-23","485456000"
"898615","895431","607720","1979-08-20","79172000"
"876981","407548","526499","1997-03-31","932128000"
"201844","345750","324239","2005-08-15","721030000"
"949646","284546","215232","2005-10-31","974767000"
"389146","744355","683685","2015-04-18","992534000"
"925209","194867","228320","1982-07-26","415057000"
"430018","843885","259621","1975-02-09","612534000"
"272531","720865","693348","1986-07-07","943833000"
"287459","495450","369132","2009-05-28","17776000"
"887757","995081","576603","2002-10-25","638709000"
"389999","552995","310449","2001-07-26","853743000"
"640939","975108","524294","1998-11-21","545686000"
"483594","566336","220455","2006-03-28","183201000"
"651842","806593","955723","1981-04-30","893873000"
"543270","372036","427903","1996-05-22","529196000"
"252955","634444","411416","2009-08-07","2568000"
"850630","929716","228906","2016-03-10","442189000"
"664087","966309","238474","1971-03-23","762961000"
"927188","346802","374215","2003-08-22","914681000"
"761890","634327","909561","2006-09-17","887995000"
"327253","320481","894145","1977-03-14","675552000"
"230274","513940","396625","2011-11-16","426392000"
"228116","563788","933334","1983-03-26","466397000"
"118700","230541","199597","2005-08-25","223733000"
"956608","848263","418537","1993-06-02","47281000"
"117152","227610","145085","1999-05-26","550061000"
"276259","155416","888575","1997-02-10","455046000"
"700308","380143","174573","2005-01-31","418248000"
"221044","326695","817577","1979-07-28","919277000"
"318644","183562","763973","1991-07-02","489194000"
"912858","519925","409817","2017-09-08","388101000"
"226272","763119","587588","2003-05-08","21706000"
"159831","652912","129909","2017-07-07","670102000"
"297279","871837","963703","2018-09-19","707437000"
"943635","164025","238039","1983-02-17","641094000"
"169335","282819","418974","1996-05-09","809850000"
"686139","170488","857423","2012-07-26","611944000"
"374799","926664","170824","1977-12-25","98605000"
"128858","580711","180872","2008-12-12","467975000"
"758314","914240","269151","1995-05-11","493516000"
"768137","443199","343730","2012-10-02","761850000"
"613083","808406","342038","2001-06-21","67409000"
"440079","293541","492056","2014-06-19","117622000"
"599180","151537","511735","2007-01-04","815846000"
"881790","336248","118164","1997-09-12","591294000"
"225632","434678","222189","1996-06-30","429320000"
"931054","938703","269730","2004-05-03","351480000"
"653925","188709","789343","2004-02-12","707201000"
"984748","508197","566819","2004-11-27","719175000"
"212172","861643","970707","1993-05-24","421445000"
"832772","793150","782207","1983-12-16","267733000"
"505615","433709","166907","1971-09-27","419197000"
"172319","897734","994933","2010-05-13","625325000"
"752290","106726","962520","2002-07-27","754971000"
"745481","923470","594015","1999-02-01","17606000"
"863743","174677","543233","1981-12-17","712260000"
"570925","494156","957272","1999-07-13","739339000"
"233241","909370","660963","1993-12-14","200477000"
"965316","501520","882818","1974-11-29","431506000"
"417687","385749","782597","1973-09-19","311530000"
"208343","649509","594521","1974-05-24","157537000"
"934046","806126","529586","1978-04-28","538118000"
"385651","949690","107409","2001-07-28","343253000"
"902806","923169","245230","2018-01-22","907767000"
"845392","166265","481341","1987-03-17","603463000"
"730415","568638","424080","1977-02-07","913265000"
"277776","499574","678615","2005-04-05","916114000"
"942046","390314","962605","1977-04-14","172409000"
"897148","388472","512469","2008-04-15","787906000"
"164789","422920","425692","1996-11-12","928300000"
"536651","316994","108924","1970-12-18","967196000"
"558943","669858","527577","1971-04-14","640195000"
"587738","238719","958781","1994-04-11","574137000"
"318714","872356","582601","2008-01-12","855718000"
"412388","519391","771999","1999-12-02","795041000"
"587558","427059","222526","2001-11-24","380932000"
"374786","318464","446337","1976-11-26","790392000"
"220973","345041","254582","1982-03-16","601016000"
"501520","834698","955312","2012-08-13","651453000"
"572986","917608","303718","1977-08-18","69273000"
"894189","503975","133980","1982-11-28","158901000"
